symbols,2023-06-02,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15
sz300706,3.871990834506976,3.7278350083397553,3.4446588235818703,3.8381642121278214,4.321986471054443,3.7190822518952613,2.8881207226058807,2.979480704733623,3.307747427894313,3.0708025934095255
sh688146,4.5049787511290935,4.670861489566155,4.66773164758187,3.996029686634686,4.646833869773442,4.2474235512152605,3.966059114033768,4.495278012659572,4.2248420081350115,3.9705878185592933
sz300484,3.2448123355885685,3.251163416461086,3.700963165578104,3.4334241050991663,3.5285126345625923,2.997541477189221,3.9083781399883617,3.4473348464427933,3.4041313874531247,3.2364404832985416
sz001314,4.691028703529662,4.216822551578488,0.0,1.9672153920127653,4.4068382741492425,5.0412790695139815,4.7520640666972325,4.268196310999439,4.588835206013253,4.522588721528726
sh688255,3.9177337759897752,4.186064875736967,4.0806412213043215,4.302885101584158,4.4776436578982,4.227062332588119,4.1861351463912895,3.7694439336835535,4.115857356999439,4.815164225551181
sh688063,4.990862941488621,5.237805142698857,5.094914456371804,5.3156427996381925,5.302066045213834,5.156731218599584,5.326920657220558,5.186878170172879,5.308265911375869,5.85109883386827
sh688123,4.876983198615294,4.6621837728792945,5.115256967229619,5.0011223686765645,4.874604040940996,4.908327961839,4.873273319690285,5.50994289198795,4.731391028237732,4.73105807831973
sh605358,4.466890765652428,4.587227976060183,4.329758719231007,4.112210972570905,4.512921225020466,4.450735251452112,3.7415279216511768,4.241161529422231,3.9005551693607945,3.81111690162997
sh688158,4.051950462097091,3.9112022183566464,4.7224524217042685,4.159234131090097,4.565443715250787,4.9021655959742745,4.865023915282871,4.280849773295437,4.581050116990669,4.717168149072288
sh688268,4.974908433645519,4.764501399628744,4.973329093813758,4.615491317397403,4.782743024085653,4.760697607959468,4.9373480061128285,4.407573751256359,4.696769434923708,4.734134413252443
sh603290,5.673861523073852,5.666391144034708,5.602854917631451,5.424998627708272,5.3748749377237734,5.703210910026589,5.500909938921383,5.099737205509069,4.720311055595999,5.386976095736888
sh603881,3.4532659669740013,3.76751660787038,4.375589861596796,4.508448600791693,3.640722270716555,4.039662801985246,3.785528833381638,3.620665320310824,4.019666263769334,4.034703386239669
sz300842,4.859070832013607,5.132961365482943,5.525766380357903,4.9116967100446445,5.218529657704506,5.511057923493211,5.28439639728808,4.668667485709911,6.0126302762729855,5.617662622927119
sz300346,3.677360444711672,4.14983346680752,4.467567008002148,4.2075648360920095,3.751870065222693,4.057264028361458,3.590734000997484,4.15357895740928,3.8559075619201297,3.65490456033521
sh688208,4.724350195823955,4.1505914373850095,4.466896300220757,3.9644041619723396,3.9962659619357073,4.309544665217551,4.722560937199331,4.079721415176041,3.993508585922887,3.74011750121468
sh688663,4.34855859536625,3.847314376186955,3.0098947299086056,3.6613594776653695,4.137644500926206,3.9666884188475966,4.08600260179768,3.8033352042553465,3.5784465870633566,4.4320519205689015
sz300428,3.802608871066824,4.093557956608938,3.8088567799205086,3.5485719834223564,3.776549661910855,3.7310448473116016,4.8470321986438565,4.035847369064393,4.124971683507677,3.6246766237478294
sh688170,4.444347524323371,4.76226754914858,4.49265714426778,4.124157692611838,4.550599405131361,4.964295594416882,4.939165235853847,4.730570814667062,5.195292241117,4.900113720626236
sh688137,4.618940197109839,3.4659760085226936,4.049551336942688,3.9904960667563465,3.9767201269543695,4.305430507961312,3.7862664463051554,3.52898574916958,3.2138121383653684,2.9490708834002985
sh603348,4.653419484317999,4.344537321191013,4.431099435484212,3.8741704005554123,3.825860319298825,4.1307933000775785,4.613931763506018,4.863221904819411,4.607438472793964,4.746743120946193
sz300693,4.493223048471017,4.896256618875153,4.219725367538212,4.460508647110929,3.982382783340839,4.176791379298316,4.607495401000262,4.206265231892595,4.645780657006012,4.988126685955935
sh603650,3.966415748420649,4.25586029143674,4.133993010173945,3.639019532815013,4.725732216089702,3.9716281495269086,3.3241823683629184,4.211789512936128,3.6458950150798333,3.120892609077501
sz300236,4.35590867241374,4.041409864870018,4.43453382837416,3.733827103620489,4.587720587773333,4.1685564754492495,3.709972519642797,3.8253954021836387,3.790737667596568,4.225405795562731
sh688503,4.3996349530872685,4.414011789653404,4.815614222864489,4.713139539170337,5.301821375549905,5.1513053015949275,4.3721629158197945,4.457216949759408,4.763226788119333,5.314206521928621
sh603986,4.9713433836811305,4.9192550575302105,5.2231635470217475,4.845379017343008,4.85766090935096,5.165281503921273,5.131268982863778,5.897221679800067,4.878796678936856,5.097339721280343
sh688012,5.36625135422328,5.3780799996595325,5.658051527683464,6.071543283324182,5.65815946811618,5.83688327378178,5.873835144650589,5.596530683775698,5.746935692804133,5.446594572734582
sh688293,4.140187295016848,4.192618927665277,4.072173214420179,3.7302429652829607,4.091483949063631,4.36349131617377,4.047678832882322,3.5341287874968987,3.7752456576200006,4.173643553388909
sh688316,4.996841232322121,4.50636691076492,5.07006500278069,5.086636034578478,5.361603804303252,5.501059931277887,5.2700824105548785,5.488481494374738,5.15526286398495,4.711581974287361
sh688126,3.868099793314051,3.552029656724032,3.6626944867411657,3.230950362400235,3.967955434438416,4.256265703759705,3.627339517162517,3.363460974601877,3.3530231863936293,3.739886058088628
sh688981,4.5587885156731485,4.53024573318225,4.819537201721818,4.681401591418744,4.536049484733949,4.673933314933109,4.676510679888428,5.182145943573113,4.395141562602987,4.846550829208828
sz300491,5.5838188819487415,4.815886468417588,4.691201932938662,4.130524168668282,5.174105623821816,4.496165938038994,4.313357955009681,4.813787610158343,4.506344459946353,5.0381701060064294
sh688008,4.94466521467775,4.814255695553687,5.030006072429908,5.094971744634542,4.972580077232607,4.751808985061352,4.836111743111644,5.596991339262898,4.836778738972231,4.523621446532017
sh688305,4.505198419992526,3.9064925877947188,4.7096076044804125,5.113484805537875,4.7699940949563695,3.9898192853221497,4.745353573765611,4.557738017972639,5.231817158538943,5.347202064842575
sz002169,2.151133955885732,2.4305332530876957,2.9373334124093,2.2371306257664902,2.5469415706891256,2.3696818918249516,2.8254929680139047,2.6407058346023766,2.4208013494922658,2.4991218853869537
sh688041,,4.86107851026236,5.3788746901174065,4.952197547635775,5.222789039709612,5.797452456220883,5.29069956440828,5.855297681357473,5.614205269528936,5.539851733871066
sz300415,,4.153989826868768,4.0586317131571255,2.75887806898295,3.612843604432432,3.425293626280272,4.755062583528949,3.870333428697375,3.8789574595268816,3.804813801970587
sh688256,,0.0,6.058340705401517,5.753671350956755,5.579356187669426,6.3242435443041565,6.106478951615214,6.2011878030480565,6.016783540180661,6.001379755283332
sz300751,,5.1879630605602935,5.516720603506113,4.83306462712155,5.403179689309481,5.101958283706578,5.499304528771863,5.231911357291966,5.235623821480762,5.669391502314303
sh688390,,5.153692132313111,5.383233279442173,5.409206994001602,5.508583529148262,5.168695341543692,5.614533289713926,5.095253162070684,5.522149537877977,5.98212780474455
